Meuhedet Pediatric Clinic,"Jabotinsky St 144, Herzliya",Clinic
Maccabi Pediatric Clinic,"Weizmann St 112, Haifa",Clinic
Maccabi Clinic,"Ben Gurion Blvd 128, Ashkelon",Clinic
Leumit Clinic,"HaHistadrut St 111, Netanya",Clinic
Meuhedet Health Center,"Weizmann St 40, Haifa",Clinic
Leumit Clinic,"HaNegev St 102, Tel Aviv",Clinic
Leumit Pediatric Clinic,"Sokolov St 30, Petah Tikva",Clinic
Maccabi Family Clinic,"HaNegev St 59, Rehovot",Clinic
Leumit Health Center,"Jabotinsky St 37, Ra'anana",Clinic
Meuhedet Women's Clinic,"HaShalom Rd 135, Haifa",Clinic
Maccabi City Clinic,"HaYarkon St 142, Jerusalem",Clinic
Maccabi Family Clinic,"Weizmann St 118, Ashkelon",Clinic
Maccabi Clinic,"HaPalmach St 36, Tel Aviv",Clinic
Leumit Women's Clinic,"Allenby St 105, Ashdod",Clinic
Maccabi Health Center,"Menachem Begin St 68, Rehovot",Clinic
Leumit Health Center,"HaYarkon St 62, Bnei Brak",Clinic
Meuhedet Family Clinic,"Menachem Begin St 58, Rehovot",Clinic
Clalit City Clinic,"Sokolov St 78, Herzliya",Clinic
Maccabi Clinic,"Menachem Begin St 131, Rishon LeZion",Clinic
Clalit Health Center,"HaShalom Rd 8, Haifa",Clinic
Meuhedet Women's Clinic,"Sokolov St 66, Netanya",Clinic
Maccabi Health Center,"Weizmann St 25, Jerusalem",Clinic
Clalit Clinic,"Ben Gurion Blvd 111, Beersheba",Clinic
Meuhedet Family Clinic,"Begin Blvd 73, Bnei Brak",Clinic
Meuhedet Family Clinic,"Allenby St 1, Rehovot",Clinic
Leumit Family Clinic,"Ben Gurion Blvd 147, Ashkelon",Clinic
Maccabi Pediatric Clinic,"HaNegev St 5, Ramat Gan",Clinic
Leumit Family Clinic,"HaHistadrut St 128, Rishon LeZion",Clinic
Leumit Pediatric Clinic,"Rothschild Ave 32, Petah Tikva",Clinic
Leumit Pediatric Clinic,"HaYarkon St 95, Rishon LeZion",Clinic
Clalit Health Center,"Jabotinsky St 51, Netanya",Clinic
Meuhedet Women's Clinic,"HaYarkon St 87, Jerusalem",Clinic
Clalit Pediatric Clinic,"Weizmann St 78, Netanya",Clinic
Clalit Pediatric Clinic,"Rothschild Ave 56, Ramat Gan",Clinic
Meuhedet Women's Clinic,"Sokolov St 58, Beersheba",Clinic
Meuhedet Clinic,"Weizmann St 111, Rishon LeZion",Clinic
Leumit Family Clinic,"Rothschild Ave 127, Petah Tikva",Clinic
Meuhedet Pediatric Clinic,"HaPalmach St 113, Jerusalem",Clinic
Clalit City Clinic,"Begin Blvd 105, Bat Yam",Clinic
Leumit Pediatric Clinic,"HaShalom Rd 70, Kfar Saba",Clinic
Meuhedet Pediatric Clinic,"HaHistadrut St 39, Netanya",Clinic
Meuhedet Family Clinic,"HaHistadrut St 97, Kfar Saba",Clinic
Maccabi Family Clinic,"Sokolov St 19, Jerusalem",Clinic
Meuhedet City Clinic,"Rothschild Ave 66, Petah Tikva",Clinic
Maccabi Family Clinic,"Herzl St 103, Jerusalem",Clinic
Leumit Health Center,"HaPalmach St 78, Ashkelon",Clinic
Leumit Family Clinic,"HaShalom Rd 39, Bat Yam",Clinic
Leumit Family Clinic,"Allenby St 12, Ramat Gan",Clinic
Maccabi Family Clinic,"Sokolov St 11, Rehovot",Clinic
Clalit Clinic,"Menachem Begin St 121, Jerusalem",Clinic
Meuhedet Women's Clinic,"Ben Gurion Blvd 46, Modiin",Clinic
Maccabi Pediatric Clinic,"Ben Gurion Blvd 68, Herzliya",Clinic
Clalit Pediatric Clinic,"Sokolov St 44, Ra'anana",Clinic
Maccabi City Clinic,"Allenby St 142, Modiin",Clinic
Maccabi Health Center,"Weizmann St 98, Ashkelon",Clinic
Leumit Pediatric Clinic,"Menachem Begin St 92, Jerusalem",Clinic
Clalit City Clinic,"Begin Blvd 17, Ashkelon",Clinic
Meuhedet City Clinic,"HaPalmach St 122, Modiin",Clinic
Clalit City Clinic,"Weizmann St 132, Kfar Saba",Clinic
Clalit City Clinic,"Herzl St 84, Netanya",Clinic
Meuhedet Family Clinic,"HaPalmach St 19, Rishon LeZion",Clinic
Leumit City Clinic,"Ben Gurion Blvd 96, Bnei Brak",Clinic
Leumit Pediatric Clinic,"Allenby St 96, Beersheba",Clinic
Clalit Pediatric Clinic,"Ben Gurion Blvd 16, Ashkelon",Clinic
Clalit Family Clinic,"Rothschild Ave 27, Bat Yam",Clinic
Leumit Pediatric Clinic,"Herzl St 142, Kfar Saba",Clinic
Hadassah Ein Kerem Hospital,"Herzl St 24, Haifa",Hospital
Leumit Family Clinic,"Allenby St 38, Ramat Gan",Clinic
Clalit Pediatric Clinic,"HaYarkon St 84, Bnei Brak",Clinic
Maccabi Clinic,"Allenby St 129, Rehovot",Clinic
Maccabi Family Clinic,"Herzl St 49, Holon",Clinic
Meuhedet City Clinic,"Rothschild Ave 131, Ashdod",Clinic
Meuhedet Women's Clinic,"HaYarkon St 98, Haifa",Clinic
Leumit Health Center,"HaNegev St 1, Herzliya",Clinic
Maccabi Women's Clinic,"Herzl St 112, Tel Aviv",Clinic
Leumit Health Center,"Allenby St 82, Holon",Clinic
Leumit City Clinic,"HaTikva St 108, Ramat Gan",Clinic
Meuhedet Women's Clinic,"HaHistadrut St 126, Netanya",Clinic
Maccabi Women's Clinic,"HaYarkon St 96, Kfar Saba",Clinic
Maccabi Family Clinic,"Allenby St 35, Holon",Clinic
Maccabi Pediatric Clinic,"Sokolov St 141, Herzliya",Clinic
Maccabi Clinic,"HaNegev St 74, Ramat Gan",Clinic
Sheba Medical Center,"HaShalom Rd 83, Tel Aviv",Hospital
Leumit Clinic,"Herzl St 73, Modiin",Clinic
Meuhedet Health Center,"Jabotinsky St 78, Herzliya",Clinic
Maccabi City Clinic,"Weizmann St 75, Jerusalem",Clinic
Maccabi Health Center,"HaHistadrut St 56, Jerusalem",Clinic
Rambam Health Campus,"HaYarkon St 65, Jerusalem",Hospital
Leumit Health Center,"Weizmann St 145, Petah Tikva",Clinic
Leumit Women's Clinic,"HaShalom Rd 101, Ashdod",Clinic
Leumit City Clinic,"Weizmann St 138, Modiin",Clinic
Maccabi Health Center,"HaYarkon St 132, Ashdod",Clinic
Maccabi Health Center,"HaTikva St 63, Jerusalem",Clinic
Meuhedet Clinic,"Ben Gurion Blvd 9, Rishon LeZion",Clinic
Meuhedet City Clinic,"HaHistadrut St 124, Rehovot",Clinic
Leumit Women's Clinic,"Ben Gurion Blvd 106, Rehovot",Clinic
Ziv Medical Center,"HaPalmach St 114, Holon",Hospital
Leumit Clinic,"HaNegev St 42, Herzliya",Clinic
Meuhedet Health Center,"Weizmann St 123, Ashdod",Clinic
Leumit Family Clinic,"HaTikva St 41, Netanya",Clinic
Leumit City Clinic,"HaPalmach St 140, Ra'anana",Clinic
Clalit Pediatric Clinic,"HaPalmach St 37, Rehovot",Clinic
Maccabi Clinic,"Weizmann St 78, Tel Aviv",Clinic
Leumit Pediatric Clinic,"Jabotinsky St 76, Tel Aviv",Clinic
Leumit City Clinic,"Sokolov St 97, Bnei Brak",Clinic
Clalit City Clinic,"Ben Gurion Blvd 81, Herzliya",Clinic
Clalit Family Clinic,"HaNegev St 15, Holon",Clinic
Meuhedet Women's Clinic,"Rothschild Ave 1, Tel Aviv",Clinic
Maccabi Women's Clinic,"Menachem Begin St 93, Haifa",Clinic
Maccabi Family Clinic,"Sokolov St 90, Ashkelon",Clinic
Meuhedet Family Clinic,"Rothschild Ave 36, Herzliya",Clinic
Leumit Pediatric Clinic,"Begin Blvd 37, Petah Tikva",Clinic
Maccabi Pediatric Clinic,"HaPalmach St 47, Netanya",Clinic
Maccabi Women's Clinic,"Jabotinsky St 123, Petah Tikva",Clinic
Leumit Clinic,"Herzl St 62, Kfar Saba",Clinic
Clalit Health Center,"Jabotinsky St 14, Ashdod",Clinic
Meuhedet Health Center,"Jabotinsky St 143, Holon",Clinic
Clalit Women's Clinic,"HaHistadrut St 148, Ramat Gan",Clinic
Leumit Women's Clinic,"HaTikva St 89, Bnei Brak",Clinic
Maccabi Clinic,"Menachem Begin St 21, Bat Yam",Clinic
Meuhedet Clinic,"Rothschild Ave 94, Rehovot",Clinic
Clalit Women's Clinic,"Jabotinsky St 116, Modiin",Clinic
Leumit Family Clinic,"Sokolov St 110, Netanya",Clinic
Maccabi Health Center,"HaShalom Rd 91, Netanya",Clinic
Maccabi Health Center,"HaTikva St 130, Rishon LeZion",Clinic
Clalit City Clinic,"Begin Blvd 61, Rishon LeZion",Clinic
Maccabi Women's Clinic,"HaShalom Rd 16, Ashdod",Clinic
Meuhedet Women's Clinic,"Sokolov St 123, Netanya",Clinic
Leumit Family Clinic,"HaNegev St 126, Modiin",Clinic
Clalit Family Clinic,"Allenby St 100, Haifa",Clinic
Maccabi Pediatric Clinic,"Herzl St 40, Rishon LeZion",Clinic
Clalit Clinic,"Herzl St 148, Herzliya",Clinic
Leumit City Clinic,"Jabotinsky St 3, Rishon LeZion",Clinic
Maccabi Family Clinic,"Sokolov St 6, Haifa",Clinic
Maccabi Women's Clinic,"Sokolov St 14, Petah Tikva",Clinic
Clalit Women's Clinic,"Sokolov St 82, Petah Tikva",Clinic
Leumit Clinic,"Ben Gurion Blvd 112, Ramat Gan",Clinic
Clalit Pediatric Clinic,"Herzl St 20, Jerusalem",Clinic
Clalit Women's Clinic,"HaYarkon St 60, Ashkelon",Clinic
Leumit Family Clinic,"Ben Gurion Blvd 21, Bat Yam",Clinic
Maccabi Health Center,"HaTikva St 93, Beersheba",Clinic
Leumit City Clinic,"HaPalmach St 109, Modiin",Clinic
Meuhedet Health Center,"HaNegev St 127, Tel Aviv",Clinic
Maccabi City Clinic,"Jabotinsky St 56, Ra'anana",Clinic
Leumit Clinic,"Weizmann St 138, Bnei Brak",Clinic
Leumit Pediatric Clinic,"HaShalom Rd 52, Modiin",Clinic
Leumit Family Clinic,"Ben Gurion Blvd 2, Modiin",Clinic
Meuhedet Family Clinic,"Begin Blvd 74, Jerusalem",Clinic
Meuhedet City Clinic,"Sokolov St 95, Ashkelon",Clinic
Leumit Women's Clinic,"Sokolov St 98, Bnei Brak",Clinic
Meuhedet City Clinic,"Ben Gurion Blvd 96, Ramat Gan",Clinic
Maccabi Health Center,"HaTikva St 106, Jerusalem",Clinic
Meuhedet Family Clinic,"HaYarkon St 37, Bat Yam",Clinic
Meuhedet Health Center,"HaNegev St 139, Rehovot",Clinic
Meuhedet Clinic,"Weizmann St 71, Ashkelon",Clinic
Meuhedet Family Clinic,"HaNegev St 74, Petah Tikva",Clinic
Leumit City Clinic,"Allenby St 107, Beersheba",Clinic
Meuhedet Clinic,"HaShalom Rd 118, Jerusalem",Clinic
Maccabi Pediatric Clinic,"HaShalom Rd 40, Kfar Saba",Clinic
Maccabi Pediatric Clinic,"Herzl St 144, Rishon LeZion",Clinic
Clalit Health Center,"HaTikva St 30, Rishon LeZion",Clinic
Maccabi Family Clinic,"Weizmann St 128, Modiin",Clinic
Leumit City Clinic,"HaPalmach St 140, Kfar Saba",Clinic
Leumit City Clinic,"Ben Gurion Blvd 25, Ramat Gan",Clinic
Leumit City Clinic,"HaHistadrut St 136, Kfar Saba",Clinic
Maccabi Family Clinic,"HaPalmach St 14, Bat Yam",Clinic
Clalit Health Center,"Herzl St 113, Bat Yam",Clinic
Meuhedet Pediatric Clinic,"Allenby St 48, Haifa",Clinic
Maccabi Women's Clinic,"Herzl St 74, Holon",Clinic
Meuhedet Pediatric Clinic,"Begin Blvd 73, Bnei Brak",Clinic
Leumit City Clinic,"HaTikva St 78, Petah Tikva",Clinic
Leumit Pediatric Clinic,"Weizmann St 74, Rishon LeZion",Clinic
Maccabi Health Center,"Allenby St 53, Kfar Saba",Clinic
Leumit Clinic,"HaHistadrut St 140, Ra'anana",Clinic
Leumit Clinic,"HaYarkon St 130, Petah Tikva",Clinic
Meuhedet City Clinic,"HaTikva St 144, Ashkelon",Clinic
Clalit City Clinic,"Weizmann St 77, Tel Aviv",Clinic
Leumit Clinic,"HaNegev St 104, Ra'anana",Clinic
Clalit Family Clinic,"HaHistadrut St 97, Bat Yam",Clinic
Clalit Women's Clinic,"Begin Blvd 56, Rishon LeZion",Clinic
Meuhedet Family Clinic,"Rothschild Ave 29, Jerusalem",Clinic
Clalit Women's Clinic,"Begin Blvd 34, Bnei Brak",Clinic
Meuhedet Family Clinic,"HaHistadrut St 144, Beersheba",Clinic
Shaare Zedek Medical Center,"HaNegev St 69, Netanya",Hospital
Maccabi Clinic,"Herzl St 23, Rehovot",Clinic
Leumit Pediatric Clinic,"Jabotinsky St 22, Kfar Saba",Clinic
Maccabi Clinic,"Rothschild Ave 112, Bnei Brak",Clinic
Clalit Women's Clinic,"HaTikva St 40, Modiin",Clinic
Clalit Clinic,"HaHistadrut St 142, Kfar Saba",Clinic
Meuhedet Clinic,"Weizmann St 19, Rishon LeZion",Clinic
Maccabi Women's Clinic,"HaHistadrut St 89, Ashdod",Clinic
Clalit Women's Clinic,"HaTikva St 7, Ashdod",Clinic
Leumit Clinic,"HaTikva St 85, Herzliya",Clinic
Leumit Women's Clinic,"HaTikva St 7, Modiin",Clinic
Maccabi Family Clinic,"HaHistadrut St 3, Beersheba",Clinic
Leumit Clinic,"Sokolov St 20, Ashdod",Clinic
Clalit Women's Clinic,"Rothschild Ave 149, Haifa",Clinic
Maccabi City Clinic,"HaTikva St 148, Haifa",Clinic
Leumit Health Center,"Sokolov St 32, Herzliya",Clinic
Leumit Health Center,"HaShalom Rd 19, Haifa",Clinic
Leumit City Clinic,"HaShalom Rd 123, Ra'anana",Clinic
Clalit Clinic,"HaShalom Rd 48, Modiin",Clinic
Maccabi Family Clinic,"Herzl St 145, Jerusalem",Clinic
Leumit Health Center,"Allenby St 40, Bnei Brak",Clinic
Leumit Women's Clinic,"HaTikva St 38, Ramat Gan",Clinic
Meuhedet Women's Clinic,"Ben Gurion Blvd 112, Beersheba",Clinic
Maccabi Family Clinic,"Rothschild Ave 32, Rishon LeZion",Clinic
Meuhedet Women's Clinic,"HaShalom Rd 102, Ashkelon",Clinic
Leumit Women's Clinic,"Begin Blvd 39, Rishon LeZion",Clinic
Leumit Women's Clinic,"Herzl St 102, Herzliya",Clinic
Maccabi Pediatric Clinic,"HaTikva St 63, Modiin",Clinic
Leumit Women's Clinic,"HaHistadrut St 41, Haifa",Clinic
Leumit Pediatric Clinic,"Begin Blvd 42, Bnei Brak",Clinic
Meuhedet Pediatric Clinic,"Herzl St 134, Holon",Clinic
Maccabi Family Clinic,"HaTikva St 49, Ramat Gan",Clinic
Clalit Family Clinic,"HaYarkon St 102, Bat Yam",Clinic
Maccabi Women's Clinic,"Herzl St 16, Modiin",Clinic
Meuhedet Family Clinic,"HaHistadrut St 74, Haifa",Clinic
Maccabi City Clinic,"HaPalmach St 28, Modiin",Clinic
Leumit Clinic,"HaYarkon St 124, Modiin",Clinic
Clalit Clinic,"HaHistadrut St 71, Ashkelon",Clinic
Kaplan Medical Center,"Sokolov St 133, Herzliya",Hospital
Meuhedet City Clinic,"Begin Blvd 64, Tel Aviv",Clinic
Clalit Pediatric Clinic,"HaShalom Rd 49, Jerusalem",Clinic
Meuhedet Family Clinic,"HaNegev St 44, Haifa",Clinic
Clalit Family Clinic,"Menachem Begin St 26, Bat Yam",Clinic
Meuhedet Family Clinic,"Menachem Begin St 148, Bat Yam",Clinic
Clalit Women's Clinic,"Menachem Begin St 136, Ramat Gan",Clinic
Leumit Health Center,"Rothschild Ave 88, Modiin",Clinic
Clalit Health Center,"Rothschild Ave 146, Modiin",Clinic
Meuhedet Pediatric Clinic,"Weizmann St 102, Haifa",Clinic
Clalit Health Center,"Menachem Begin St 49, Beersheba",Clinic
Ichilov Hospital,"Rothschild Ave 148, Beersheba",Hospital
Maccabi Pediatric Clinic,"Herzl St 12, Jerusalem",Clinic
Maccabi Women's Clinic,"Sokolov St 74, Bnei Brak",Clinic
Leumit Clinic,"Allenby St 25, Netanya",Clinic
Maccabi Health Center,"Rothschild Ave 118, Rehovot",Clinic
Maccabi City Clinic,"HaPalmach St 85, Beersheba",Clinic
Leumit Health Center,"Rothschild Ave 85, Ramat Gan",Clinic
Clalit Women's Clinic,"HaPalmach St 142, Petah Tikva",Clinic
Meuhedet City Clinic,"Jabotinsky St 71, Jerusalem",Clinic
Meuhedet Pediatric Clinic,"HaShalom Rd 144, Petah Tikva",Clinic
Meuhedet City Clinic,"Allenby St 124, Rishon LeZion",Clinic
Maccabi Pediatric Clinic,"Begin Blvd 5, Rehovot",Clinic
Leumit City Clinic,"Begin Blvd 66, Rehovot",Clinic
Meuhedet Clinic,"Rothschild Ave 130, Rishon LeZion",Clinic
Clalit Family Clinic,"HaNegev St 107, Bat Yam",Clinic
Meuhedet Health Center,"Weizmann St 43, Rishon LeZion",Clinic
Clalit Family Clinic,"Allenby St 103, Rishon LeZion",Clinic
Maccabi Pediatric Clinic,"HaPalmach St 92, Holon",Clinic
Meuhedet Health Center,"Jabotinsky St 37, Rishon LeZion",Clinic
Clalit City Clinic,"HaTikva St 121, Jerusalem",Clinic
Maccabi Health Center,"HaShalom Rd 53, Bnei Brak",Clinic
Maccabi Pediatric Clinic,"Rothschild Ave 58, Holon",Clinic
Meuhedet Pediatric Clinic,"HaHistadrut St 91, Haifa",Clinic
Maccabi Pediatric Clinic,"HaPalmach St 49, Bat Yam",Clinic
Maccabi Pediatric Clinic,"Ben Gurion Blvd 17, Modiin",Clinic
Maccabi Health Center,"HaTikva St 86, Holon",Clinic
Meuhedet Clinic,"Rothschild Ave 113, Rishon LeZion",Clinic
Maccabi Clinic,"Herzl St 62, Netanya",Clinic
Leumit Women's Clinic,"Begin Blvd 61, Jerusalem",Clinic
Leumit City Clinic,"Begin Blvd 72, Ramat Gan",Clinic
Meuhedet Pediatric Clinic,"HaHistadrut St 44, Bnei Brak",Clinic
Meuhedet Clinic,"Ben Gurion Blvd 106, Bat Yam",Clinic
Leumit Pediatric Clinic,"Begin Blvd 130, Ra'anana",Clinic
Leumit Family Clinic,"HaYarkon St 147, Tel Aviv",Clinic
Meuhedet Pediatric Clinic,"Allenby St 8, Modiin",Clinic
Barzilai Medical Center,"HaNegev St 45, Ramat Gan",Hospital
Meuhedet City Clinic,"Allenby St 117, Bat Yam",Clinic
Clalit Family Clinic,"Allenby St 29, Holon",Clinic
Maccabi City Clinic,"Herzl St 15, Rehovot",Clinic
Leumit Clinic,"HaHistadrut St 139, Ra'anana",Clinic
Clalit Family Clinic,"HaNegev St 61, Bat Yam",Clinic
Clalit City Clinic,"HaYarkon St 105, Herzliya",Clinic
Maccabi Pediatric Clinic,"HaYarkon St 111, Beersheba",Clinic
Clalit City Clinic,"Weizmann St 60, Haifa",Clinic
Maccabi Pediatric Clinic,"HaPalmach St 79, Jerusalem",Clinic
Maccabi Women's Clinic,"HaYarkon St 77, Modiin",Clinic
Maccabi Pediatric Clinic,"Weizmann St 16, Rishon LeZion",Clinic
Maccabi Women's Clinic,"Ben Gurion Blvd 85, Ashkelon",Clinic
Leumit City Clinic,"Jabotinsky St 124, Haifa",Clinic
Clalit Women's Clinic,"HaTikva St 139, Rishon LeZion",Clinic
Clalit Pediatric Clinic,"Ben Gurion Blvd 61, Holon",Clinic
Leumit Pediatric Clinic,"Begin Blvd 30, Herzliya",Clinic
Clalit Family Clinic,"HaShalom Rd 22, Ra'anana",Clinic
Meuhedet Clinic,"Sokolov St 68, Bat Yam",Clinic
Meuhedet Health Center,"HaNegev St 36, Herzliya",Clinic
